** CONVERTED FROM Z:\backup_antiguo_ordenador\escritorio\projects\EyeLink\EyeLink\results\ahora_2023_06_07_11_22\ahora_2023_06_07_11_22.edf using edfapi 4.2.1.0 Windows   standalone Jun 19 2021 on Wed Jun 07 12:57:27 2023
** DATE: Wed Jun  7 00:29:55 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.50 Jun 16 2022 (EyeLink 1000 Plus)
** CAMERA: Eyelink GL Version 1.2 Sensor=AG7
** SERIAL NUMBER: CLG-BID02
** CAMERA_CONFIG: BID02200.SCD
** RECORDED BY eye_link_stimulation.py
**

MSG	4894057 DISPLAY_COORDS  0 0 2249 1499
MSG	4898830 RECCFG CR 500 2 1 LR
MSG	4898830 ELCLCFG BTABLER
MSG	4898830 GAZE_COORDS 0.00 0.00 2249.00 1499.00
MSG	4898830 THRESHOLDS L 70 223  R 79 227
MSG	4898830 ELCL_WINDOW_SIZES 160 160 0 0
MSG	4898830 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	4898830 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	4898830 ELCL_PROC CENTROID (3)
MSG	4898830 ELCL_PCR_PARAM 5 3.0
MSG	4898831 !MODE RECORD CR 500 2 1 LR
START	4898832 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
INPUT	4898832	127
4899010	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899012	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899014	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899016	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899018	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899020	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899022	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899024	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899026	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899028	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899030	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899032	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899034	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899036	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899038	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899040	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899042	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899044	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899046	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899048	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899050	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899052	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899054	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899056	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899058	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899060	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899062	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899064	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899066	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899068	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899070	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899072	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899074	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899076	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899078	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899080	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899082	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899084	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899086	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899088	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899090	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899092	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899094	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899096	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899098	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899100	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899102	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899104	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899106	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899108	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899110	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899112	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
4899114	 -620.2	   11.2	 1000.0	 -620.2	   11.2	 1000.0	.....
